ID;Straftat;Anzahl erfasster Fälle;erfasste Fälle, davon Versuche;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Anzahl aufgeklärter Fälle;Aufklärungsqoute;Tatverdächtige insgesamt;Tatverdächtige, davon männlich;Tatverdächtige, davon weiblich
1;rape, sexual assault and sexual attack;72;16;0;0;57;79,2;61;59;2
2;robbery and predatory attack;516;77;6;2;246;47,7;338;311;27
3;assault;3.178;281;1;9;2.664;83,8;2.656;2.292;364
4;theft;22.929;3.098;0;0;7.679;33,5;4.493;3.346;1.147
5;fraud;33.910;660;0;0;32.335;95,4;5.740;4.004;1.736
6;damage to property;4.982;43;0;16;1.061;21,3;955;825;130
7;drug offences;2.818;65;0;0;2.492;88,4;2.183;1.881;302
8;homicide and manslaughter;17;14;0;0;17;100;18;18;0
9;cybercrime;1.362;253;0;0;608;44,6;376;284;92
10;street crimes;9.856;587;0;17;1.814;18,4;1.636;1.492;144
